id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	eventDate
17500	Vava‘u	Vava‘u	TO	Present	Alien	2022
17501	Vava‘u	Vava‘u	TO	Present	Alien	2022
17502	Vava‘u	Vava‘u	TO	Present	Alien	2022
17503	Vava‘u	Vava‘u	TO	Present	Alien	2022
17504	Vava‘u	Vava‘u	TO	Present	Alien	2022
17505	Vava‘u		TO	Present	Alien	2022
17506	Vava‘u	Vava‘u	TO	Present	Alien	2022
17507	Vava‘u	Vava‘u	TO	Present	Alien	2022
17508	Vava‘u		TO	Present	Alien	2022
17509	Vava‘u		TO	Present	Alien	2022
17510	Vava‘u	Vava‘u	TO	Present	Alien	2022
17511	Vava‘u	Vava‘u	TO	Present	Alien	2022
17512	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17513	Vava‘u	Vava‘u	TO	Present	Alien	2022
17514	Vava‘u		TO	Present	Alien	2022
17515	Vava‘u	Vava‘u	TO	Present	Alien	2022
17516	Vava‘u	Vava‘u	TO	Present	Alien	2022
17517	Vava‘u	Vava‘u	TO	Present	Alien	2022
17518	Vava‘u	Utula’aina	TO	Present	Alien	2022
17519	Vava‘u		TO	Present	Alien	2022
17520	Vava‘u	Vava‘u	TO	Present	Alien	2022
17521	Vava‘u		TO	Present	Alien	2022
17522	Vava‘u	Vava‘u	TO	Present	Alien	2022
17523	Vava‘u	Vava‘u	TO	Present	Alien	2022
17524	Vava‘u	Vava‘u	TO	Present	Alien	2022
17525	Vava‘u		TO	Present	Alien	2022
17526	Vava‘u	Vava‘u	TO	Present	Alien	2022
17527	Vava‘u	Vava‘u	TO	Present	Alien	2022
17528	Vava‘u		TO	Present	Alien	2022
17529	Vava‘u		TO	Present	Alien	2022
17530	Vava‘u	Vava‘u	TO	Present	Alien	2022
17531	Vava‘u	Vava‘u	TO	Present	Alien	2022
17532	Vava‘u	Vava‘u	TO	Present	Alien	2022
17533	Vava‘u		TO	Present	Alien	2022
17534	Vava‘u		TO	Present	Alien	2022
17535	Vava‘u	Vava‘u	TO	Present	Alien	2022
17536	Vava‘u		TO	Present	Alien	2022
17537	Vava‘u		TO	Present	Alien	2022
17538	Vava‘u		TO	Present	Alien	2022
17539	Vava‘u		TO	Present	Alien	2022
17540	Vava‘u	Vava‘u	TO	Present	Alien	2022
17541	Vava‘u	Vava‘u	TO	Present	Alien	2022
17542	Vava‘u	Vava‘u	TO	Present	Alien	2022
17543	Vava‘u		TO	Present	Alien	2022
17544	Vava‘u	Utula’aina	TO	Present	Alien	2022
17545	Vava‘u	Vaka’eitu Island	TO	Present	Alien	2022
17546	Vava‘u	Vava‘u	TO	Present	Alien	2022
17547	Vava‘u	Vava‘u	TO	Present	Alien	2022
17548	Vava‘u	Vava‘u	TO	Present	Alien	2022
17549	Vava‘u		TO	Present	Alien	2022
17550	Vava‘u		TO	Present	Alien	2022
17551	Vava‘u	Vava‘u	TO	Present	Alien	2022
17552	Vava‘u		TO	Present	Alien	2022
17553	Vava‘u	Vava‘u	TO	Present	Alien	2022
17554	Vava‘u	Vava‘u	TO	Present	Alien	2022
17555	Vava‘u	Vava‘u	TO	Present	Alien	2022
17556	Vava‘u	Vava‘u	TO	Present	Alien	2022
17557	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17558	Vava‘u		TO	Present	Alien	2022
17559	Vava‘u	Vava‘u	TO	Present	Alien	2022
17560	Vava‘u	Vava‘u	TO	Present	Alien	2022
17561	Vava‘u	Vava‘u	TO	Present	Alien	2022
17562	Vava‘u	Vava‘u	TO	Present	Alien	2022
17563	Vava‘u		TO	Present	Alien	2022
17564	Vava‘u		TO	Present	Alien	2022
17565	Vava‘u		TO	Present	Alien	2022
17566	Vava‘u		TO	Present	Alien	2022
17567	Vava‘u	Vava‘u	TO	Present	Alien	2022
17568	Vava‘u		TO	Present	Alien	2022
17569	Vava‘u	Vava‘u	TO	Present	Alien	2022
17570	Vava‘u		TO	Present	Alien	2022
17571	Vava‘u	Vava‘u	TO	Present	Alien	2022
17572	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17573	Vava‘u		TO	Present	Alien	2022
17574	Vava‘u	Vava‘u	TO	Present	Alien	2022
17575	Vava‘u	Vava‘u	TO	Present	Alien	2022
17576	Vava‘u	Vava‘u	TO	Present	Alien	2022
17577	Vava‘u		TO	Present	Alien	2022
17578	Vava‘u		TO	Present	Alien	2022
17579	Vava‘u		TO	Present	Alien	2022
17580	Vava‘u	Vava‘u	TO	Present	Alien	2022
17581	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17582	Vava‘u	Vava‘u	TO	Present	Alien	2022
17583	Vava‘u	Vava‘u	TO	Present	Alien	2022
17584	Vava‘u	Vava‘u	TO	Present	Alien	2022
17585	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17586	Vava‘u	Vava‘u	TO	Present	Alien	2022
17587	Vava‘u	Vava‘u	TO	Present	Alien	2022
17588	Vava‘u	Vava‘u	TO	Present	Alien	2022
17589	Vava‘u	Vava‘u	TO	Present	Alien	2022
17590	Vava‘u	Vava‘u	TO	Present	Alien	2022
17591	Vava‘u	Vava‘u	TO	Present	Alien	2022
17592	Vava‘u	Vava‘u	TO	Present	Alien	2022
17593	Vava‘u		TO	Present	Cryptogenic|Uncertain	2022
17594	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17595	Vava‘u	Vava‘u	TO	Present	Alien	2022
17596	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17597	Vava‘u		TO	Present	Alien	2022
17598	Vava‘u		TO	Present	Alien	2022
17599	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17600	Vava‘u	Vava‘u	TO	Present	Alien	2022
17601	Vava‘u		TO	Present	Alien	2022
17602	Vava‘u	Vava‘u	TO	Present	Alien	2022
17603	Vava‘u	Vava‘u	TO	Present	Alien	2022
17604	Vava‘u		TO	Present	Alien	2022
17605	Vava‘u	Vava‘u	TO	Present	Alien	2022
17606	Vava‘u		TO	Present	Cryptogenic|Uncertain	2022
17607	Vava‘u	Vava‘u	TO	Present	Alien	2022
17608	Vava‘u		TO	Present	Alien	2022
17609	Vava‘u		TO	Present	Alien	2022
17610	Vava‘u		TO	Present	Alien	2022
17611	Vava‘u		TO	Present	Alien	2022
17612	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17613	Vava‘u	Vava‘u	TO	Present	Alien	2022
17614	Vava‘u	Vava‘u	TO	Present	Alien	2022
17615	Vava‘u		TO	Present	Alien	2022
17616	Vava‘u	Vava‘u	TO	Present	Alien	2022
17617	Vava‘u	Vava‘u	TO	Present	Alien	2022
17618	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17619	Vava‘u		TO	Present	Alien	2022
17620	Vava‘u		TO	Present	Alien	2022
17621	Vava‘u	Vava‘u	TO	Present	Alien	2022
17622	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17623	Vava‘u	Vava‘u	TO	Present	Alien	2022
17624	Vava‘u	Vava‘u	TO	Present	Alien	2022
17625	Vava‘u		TO	Present	Alien	2022
17626	Vava‘u	Vava‘u	TO	Present	Alien	2022
17627	Vava‘u		TO	Present	Alien	2022
17628	Vava‘u	Vava‘u	TO	Present	Alien	2022
17629	Vava‘u		TO	Present	Alien	2022
17630	Vava‘u	Vava‘u	TO	Present	Alien	2022
17631	Vava‘u	Vava‘u	TO	Present	Alien	2022
17632	Vava‘u		TO	Present	Alien	2022
17633	Vava‘u		TO	Present	Alien	2022
17634	Vava‘u	Vava‘u	TO	Present	Alien	2022
17635	Vava‘u	Vava‘u	TO	Present	Alien	2022
17636	Vava‘u	Vava‘u	TO	Present	Alien	2022
17637	Vava‘u		TO	Present	Alien	2022
17638	Vava‘u	Vava‘u	TO	Present	Alien	2022
17639	Vava‘u	Vava‘u	TO	Present	Alien	2022
17640	Vava‘u	Vava‘u	TO	Present	Alien	2022
17641	Vava‘u	Vava‘u	TO	Present	Alien	2022
17642	Vava‘u	Vava‘u	TO	Present	Alien	2022
17643	Vava‘u	Vava‘u	TO	Present	Alien	2022
17644	Vava‘u	Vava‘u	TO	Present	Alien	2022
17645	Vava‘u		TO	Present	Cryptogenic|Uncertain	2022
17646	Vava‘u	Vava‘u	TO	Present	Alien	2022
17647	Vava‘u	Vava‘u	TO	Present	Alien	2022
17648	Vava‘u	Vava‘u	TO	Present	Alien	2022
17649	Vava‘u		TO	Present	Alien	2022
17650	Vava‘u		TO	Present	Alien	2022
17651	Vava‘u	Vava‘u	TO	Present	Alien	2022
17652	Vava‘u		TO	Present	Alien	2022
17653	Vava‘u	Vava‘u	TO	Present	Alien	2022
17654	Vava‘u	Vava‘u	TO	Present	Alien	2022
17655	Vava‘u		TO	Present	Alien	2022
17656	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17657	Vava‘u	Vava‘u	TO	Present	Alien	2022
17658	Vava‘u		TO	Present	Cryptogenic|Uncertain	2022
17659	Vava‘u		TO	Present	Alien	2022
17660	Vava‘u		TO	Present	Alien	2022
17661	Vava‘u		TO	Present	Cryptogenic|Uncertain	2022
17662	Vava‘u		TO	Present	Alien	2022
17663	Vava‘u		TO	Present	Alien	2022
17664	Vava‘u		TO	Present	Alien	2022
17665	Vava‘u		TO	Present	Alien	2022
17666	Vava‘u		TO	Present	Alien	2022
17667	Vava‘u	Vava‘u	TO	Present	Cryptogenic|Uncertain	2022
17668	Vava‘u	Vava‘u	TO	Present	Alien	2022
17669	Vava‘u		TO	Present	Alien	2022
17670	Vava‘u	Utula’aina	TO	Present	Alien	2022
17671	Vava‘u	Vaka’eitu Island	TO	Present	Alien	2022
17672	Vava‘u		TO	Present	Alien	2022
17673	Vava‘u	Vava‘u	TO	Present	Alien	2022
