id	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
165000	NZ	present	introduced		
165001	NZ	present	introduced		
165002	NZ	present	introduced		
165003	NZ	present	introduced		
165004	NZ	present	introduced		
165005	NZ	present	introduced		
165006	NZ	present	introduced		
165007	NZ	present	introduced		
165008	NZ	present	introduced		
165009	NZ	present	introduced		
165010	NZ	present	introduced		
165011	NZ	present	introduced		
165012	NZ	present	introduced		
165013	NZ	present	introduced		
165014	NZ	present	introduced		
165015	NZ	present	introduced		
165016	NZ	present	introduced		
165017	NZ	present	introduced		
165018	NZ	present	introduced		
165019	NZ	present	introduced		
165020	NZ	present	introduced		
165021	NZ	present	introduced		
165022	NZ	present	introduced		
165023	NZ	present	introduced		
165024	NZ	present	introduced		
165025	NZ	present	introduced		
165026	NZ	present	introduced		
165027	NZ	present	introduced		
165028	NZ	present	introduced		
165029	NZ	present	introduced		
165030	NZ	present	introduced		
165031	NZ	present	introduced		
165032	NZ	present	introduced		
165033	NZ	present	introduced		
165034	NZ	present	introduced		
165035	NZ	present	introduced		
165036	NZ	present	introduced		
165037	NZ	present	introduced		
165038	NZ	present	introduced		
165039	NZ	present	introduced		
165040	NZ	present	introduced		
165041	NZ	present	introduced		
165042	NZ	present	introduced		
165043	NZ	present	introduced		
165044	NZ	present	introduced		
165045	NZ	present	introduced		
165046	NZ	present	introduced		
165047	NZ	present	introduced		
165048	NZ	present	introduced		
165049	NZ	present	introduced		
165050	NZ	present	introduced		
165051	NZ	present	introduced		
165052	NZ	present	introduced		
165053	NZ	present	introduced		
165054	NZ	present	introduced		
165055	NZ	present	introduced		
165056	NZ	present	introduced		
165057	NZ	present	introduced		1978
165058	NZ	present	introduced		
165059	NZ	present	introduced		
165060	NZ	present	introduced		
165061	NZ	present	introduced		
165062	NZ	present	introduced		
165063	NZ	present	introduced		
165064	NZ	present	introduced		
165065	NZ	present	introduced		
165066	NZ	present	introduced		
165067	NZ	present	introduced		
165068	NZ	present	introduced		
165069	NZ	present	introduced		
165070	NZ	present	introduced		
165071	NZ	present	introduced		
165072	NZ	present	introduced		
165073	NZ	present	introduced		
165074	NZ	present	introduced		
165075	NZ	present	introduced		
165076	NZ	present	introduced		
165077	NZ	present	introduced		
165078	NZ	present	introduced		
165079	NZ	present	introduced		
165080	NZ	present	introduced		
165081	NZ	present	introduced		
165082	NZ	present	introduced		
165083	NZ	present	introduced		1976
165084	NZ	present	introduced		
165085	NZ	present	introduced		
165086	NZ	present	introduced		2019
165087	NZ	present	introduced		
165088	NZ	present	introduced		
165089	NZ	present	introduced		
165090	NZ	present	introduced		
165091	NZ	present	introduced		
165092	NZ	present	introduced		
165093	NZ	present	introduced		
165094	NZ	present	introduced		
165095	NZ	present	introduced		
165096	NZ	present	introduced		
165097	NZ	present	introduced		
165098	NZ	present	introduced		
165099	NZ	present	introduced		
165100	NZ	present	introduced		
165101	NZ	present	introduced		
165102	NZ	present	introduced		2019
165103	NZ	present	introduced		
165104	NZ	present	introduced		
165105	NZ	present	introduced		
165106	NZ	present	introduced		
165107	NZ	present	introduced		
165108	NZ	present	introduced		
165109	NZ	present	introduced		
165110	NZ	present	introduced		
165111	NZ	present	introduced		
165112	NZ	present	introduced		
165113	NZ	present	introduced		
165114	NZ	present	introduced		
165115	NZ	present	introduced		
165116	NZ	present	introduced		
165117	NZ	present	introduced		
165118	NZ	present	introduced		
165119	NZ	present	introduced		
165120	NZ	present	introduced		
165121	NZ	present	introduced		
165122	NZ	present	introduced		
165123	NZ	present	introduced		
165124	NZ	present	introduced		
165125	NZ	present	introduced		
165126	NZ	present	introduced		
165127	NZ	present	introduced		
165128	NZ	present	introduced		
165129	NZ	present	introduced		
165130	NZ	present	introduced		
165131	NZ	present	introduced		
165132	NZ	present	introduced		
165133	NZ	present	introduced		
165134	NZ	present	introduced		
165135	NZ	present	introduced		
165136	NZ	present	introduced		
165137	NZ	present	introduced		
165138	NZ	present	introduced		
165139	NZ	present	introduced		
165140	NZ	present	introduced		
165141	NZ	present	introduced		
165142	NZ	present	introduced		
165143	NZ	present	introduced		
165144	NZ	present	introduced		
165145	NZ	present	introduced		
165146	NZ	present	introduced		
165147	NZ	present	introduced		
165148	NZ	present	introduced		2021
165149	NZ	present	introduced		2021
165150	NZ	present	introduced		
165151	NZ	present	introduced		
165152	NZ	present	introduced		
165153	NZ	present	introduced		
165154	NZ	present	introduced		
165155	NZ	present	introduced		
165156	NZ	present	introduced		
165157	NZ	present	introduced		
165158	NZ	present	introduced		
165159	NZ	present	introduced		
165160	NZ	present	introduced		
165161	NZ	present	introduced		
165162	NZ	present	introduced		
165163	NZ	present	introduced		
165164	NZ	present	introduced		
165165	NZ	present	introduced		
165166	NZ	present	introduced		
165167	NZ	present	introduced		
165168	NZ	present	introduced		
165169	NZ	present	introduced		
165170	NZ	present	introduced		
165171	NZ	present	introduced		2022
165172	NZ	present	introduced		
165173	NZ	present	introduced		
165174	NZ	present	introduced		2000
165175	NZ	present	introduced		1986
165176	NZ	present	introduced		
165177	NZ	present	introduced		
165178	NZ	present	introduced		
165179	NZ	present	introduced		
165180	NZ	present	introduced		
165181	NZ	present	introduced		
165182	NZ	present	introduced		
165183	NZ	present	introduced		
165184	NZ	present	introduced		
165185	NZ	present	introduced		
165186	NZ	present	introduced		
165187	NZ	present	introduced		
165188	NZ	present	introduced		
165189	NZ	present	introduced		
165190	NZ	present	introduced		2019
165191	NZ	present	introduced		
165192	NZ	present	introduced		2019
165193	NZ	present	introduced		
165194	NZ	present	introduced		
165195	NZ	present	introduced		
165196	NZ	present	introduced		
165197	NZ	present	introduced		
165198	NZ	present	introduced		
165199	NZ	present	introduced		
165200	NZ	present	introduced		
165201	NZ	present	introduced		
165202	NZ	present	introduced		
165203	NZ	present	introduced		
165204	NZ	present	introduced		
165205	NZ	present	introduced		
165206	NZ	present	introduced		
165207	NZ	present	introduced		
165208	NZ	present	introduced		
165209	NZ	present	introduced		
165210	NZ	present	introduced		
165211	NZ	present	introduced		
165212	NZ	present	introduced		
165213	NZ	present	introduced		
165214	NZ	present	introduced		
165215	NZ	present	introduced		
165216	NZ	present	introduced		
165217	NZ	present	introduced		
165218	NZ	present	introduced		
165219	NZ	present	introduced		
165220	NZ	present	introduced		
165221	NZ	present	introduced		
165222	NZ	present	introduced		
165223	NZ	present	introduced		1956
165224	NZ	present	introduced		
165225	NZ	present	introduced		
165226	NZ	present	introduced		
165227	NZ	present	introduced		
165228	NZ	present	introduced		
165229	NZ	present	introduced		
165230	NZ	present	introduced		
165231	NZ	present	introduced		
165232	NZ	present	introduced		
165233	NZ	present	introduced		
165234	NZ	present	introduced		
165235	NZ	present	introduced		
165236	NZ	present	introduced		
165237	NZ	present	introduced		
165238	NZ	present	introduced		
165239	NZ	present	introduced		
165240	NZ	present	introduced	Ornamental	1983
165241	NZ	present	introduced		
165242	NZ	present	introduced		
165243	NZ	present	introduced		
165244	NZ	present	introduced		
165245	NZ	present	introduced		
165246	NZ	present	introduced		
165247	NZ	present	introduced		
165248	NZ	present	introduced		
165249	NZ	present	introduced		
165250	NZ	present	introduced		
165251	NZ	present	introduced		
165252	NZ	present	introduced		
165253	NZ	present	introduced		
165254	NZ	present	introduced		
165255	NZ	present	introduced		
165256	NZ	present	introduced		
165257	NZ	present	introduced		
165258	NZ	present	introduced		2022
165259	NZ	present	introduced		
165260	NZ	present	introduced		
165261	NZ	present	introduced		
165262	NZ	present	introduced		
165263	NZ	present	introduced		
165264	NZ	present	introduced		
165265	NZ	present	introduced		
165266	NZ	present	introduced		
165267	NZ	present	introduced		
165268	NZ	present	introduced		
165269	NZ	present	introduced		
165270	NZ	present	introduced		
165271	NZ	present	introduced		
165272	NZ	present	introduced		
165273	NZ	present	introduced		
165274	NZ	present	introduced		
165275	NZ	present	introduced		
165276	NZ	present	introduced		
165277	NZ	present	introduced		
165278	NZ	present	introduced		
165279	NZ	present	introduced		
165280	NZ	present	introduced		
165281	NZ	present	introduced		
165282	NZ	present	introduced		
165283	NZ	present	introduced		
165284	NZ	present	introduced		
165285	NZ	present	introduced		
165286	NZ	present	introduced		
165287	NZ	present	introduced		
165288	NZ	present	introduced		
165289	NZ	present	introduced		
165290	NZ	present	introduced		
165291	NZ	present	introduced		
165292	NZ	present	introduced		
165293	NZ	present	introduced		
165294	NZ	present	introduced		
165295	NZ	present	introduced		
165296	NZ	present	introduced		
165297	NZ	present	introduced		
165298	NZ	present	introduced		
165299	NZ	present	introduced		
165300	NZ	present	introduced		
165301	NZ	present	introduced		
165302	NZ	present	introduced		
165303	NZ	present	introduced		
165304	NZ	present	introduced		
165305	NZ	present	introduced		
165306	NZ	present	introduced		
165307	NZ	present	introduced		
165308	NZ	present	introduced		
165309	NZ	present	introduced		2005
165310	NZ	present	introduced		
165311	NZ	present	introduced		
165312	NZ	present	introduced		
165313	NZ	present	introduced		
165314	NZ	present	introduced		
165315	NZ	present	introduced		
165316	NZ	present	introduced		
165317	NZ	present	introduced		
165318	NZ	present	introduced		
165319	NZ	present	introduced		
165320	NZ	present	introduced		
165321	NZ	present	introduced		
165322	NZ	present	introduced		
165323	NZ	present	introduced		
165324	NZ	present	introduced		
165325	NZ	present	introduced		
165326	NZ	present	introduced		2019
165327	NZ	present	introduced		
165328	NZ	present	introduced		
165329	NZ	present	introduced		
165330	NZ	present	introduced		
165331	NZ	present	introduced		
165332	NZ	present	introduced		
165333	NZ	present	introduced		
165334	NZ	present	introduced		
165335	NZ	present	introduced		
165336	NZ	present	introduced		2004
165337	NZ	present	introduced		
165338	NZ	present	introduced		2020
165339	NZ	present	introduced		
165340	NZ	present	introduced		
165341	NZ	present	introduced		
165342	NZ	present	introduced		
165343	NZ	present	introduced		
165344	NZ	present	introduced		
165345	NZ	present	introduced		
165346	NZ	present	introduced		
165347	NZ	present	introduced		
165348	NZ	present	introduced		
165349	NZ	present	introduced		
165350	NZ	present	introduced		
165351	NZ	present	introduced		
165352	NZ	present	introduced		
165353	NZ	present	introduced		
165354	NZ	present	introduced		
165355	NZ	present	introduced		
165356	NZ	present	introduced		
165357	NZ	present	introduced		
165358	NZ	present	introduced		
165359	NZ	present	introduced		
165360	NZ	present	introduced		2017
165361	NZ	present	introduced		
165362	NZ	present	introduced		
165363	NZ	present	introduced		
165364	NZ	present	introduced		
165365	NZ	present	introduced		
165366	NZ	present	introduced		
165367	NZ	present	native|introduced		
165368	NZ	present	introduced		
165369	NZ	present	introduced		
165370	NZ	present	introduced		
165371	NZ	present	introduced		
165372	NZ	present	introduced		
165373	NZ	present	introduced		
165374	NZ	present	introduced		
165375	NZ	present	introduced		
165376	NZ	present	introduced		
165377	NZ	present	introduced		
165378	NZ	present	introduced		
165379	NZ	present	introduced		
165380	NZ	present	introduced		
165381	NZ	present	introduced		
165382	NZ	present	introduced		
165383	NZ	present	introduced		
165384	NZ	present	introduced		
165385	NZ	present	introduced		
165386	NZ	present	introduced		
165387	NZ	present	introduced		
165388	NZ	present	introduced		
165389	NZ	present	introduced		
165390	NZ	present	introduced		
165391	NZ	present	introduced		
165392	NZ	present	introduced		
165393	NZ	present	introduced		
165394	NZ	present	introduced		
165395	NZ	present	introduced		
165396	NZ	present	introduced		
165397	NZ	present	introduced		
165398	NZ	present	introduced		
165399	NZ	present	introduced		
165400	NZ	present	introduced		
165401	NZ	present	introduced		
165402	NZ	present	introduced		
165403	NZ	present	introduced		
165404	NZ	present	introduced		
165405	NZ	present	introduced		
165406	NZ	present	introduced		
165407	NZ	present	introduced		
165408	NZ	present	introduced		
165409	NZ	present	introduced		
165410	NZ	present	introduced		
165411	NZ	present	introduced		
165412	NZ	present	introduced		
165413	NZ	present	introduced		
165414	NZ	present	introduced	Ornamental	1985/1986
165415	NZ	present	introduced		
165416	NZ	present	introduced		
165417	NZ	present	introduced		
165418	NZ	present	introduced		
165419	NZ	present	introduced		
165420	NZ	present	introduced		
165421	NZ	present	introduced		
165422	NZ	present	introduced		
165423	NZ	present	introduced		
165424	NZ	present	introduced		
165425	NZ	present	introduced		
165426	NZ	present	introduced		
165427	NZ	present	introduced		
165428	NZ	present	introduced		
165429	NZ	present	introduced		2020
165430	NZ	present	introduced		
165431	NZ	present	introduced		
165432	NZ	present	introduced		
165433	NZ	present	introduced		
165434	NZ	present	introduced		
165435	NZ	present	introduced		
165436	NZ	present	introduced		
165437	NZ	present	introduced		
165438	NZ	present	introduced		
165439	NZ	present	introduced		
165440	NZ	present	introduced		
165441	NZ	present	introduced		
165442	NZ	present	introduced		
165443	NZ	present	introduced	Aquarium trade	1977
165444	NZ	present	introduced	Aquarium trade	
165445	NZ	present	introduced		
165446	NZ	present	introduced		
165447	NZ	present	introduced		
165448	NZ	present	introduced		
165449	NZ	present	introduced		
165450	NZ	present	introduced		
165451	NZ	present	introduced		
165452	NZ	present	introduced		
165453	NZ	present	introduced		
165454	NZ	present	introduced		
165455	NZ	present	introduced		
165456	NZ	present	introduced		
165457	NZ	present	introduced		
165458	NZ	present	introduced		
165459	NZ	present	introduced	aquarium trade	1920s
165460	NZ	present	introduced		
165461	NZ	present	introduced		
165462	NZ	present	introduced		
165463	NZ	present	introduced		
165464	NZ	present	introduced		2019
165465	NZ	present	introduced		
165466	NZ	present	introduced		
165467	NZ	present	introduced		
165468	NZ	present	introduced		2009
165469	NZ	present	introduced		
165470	NZ	present	introduced		
165471	NZ	present	introduced		
165472	NZ	present	introduced		
165473	NZ	present	introduced		
165474	NZ	present	introduced		
165475	NZ	present	introduced		
165476	NZ	present	introduced		
165477	NZ	present	introduced		
165478	NZ	present	introduced		
165479	NZ	present	introduced		
165480	NZ	present	introduced		2021
165481	NZ	present	introduced		
165482	NZ	present	introduced		
165483	NZ	present	introduced		
165484	NZ	present	introduced		
165485	NZ	present	introduced		
165486	NZ	present	introduced		
165487	NZ	present	introduced		
165488	NZ	present	introduced		
165489	NZ	present	introduced		
165490	NZ	present	introduced		
165491	NZ	present	introduced		
165492	NZ	present	introduced		
165493	NZ	present	introduced		
165494	NZ	present	introduced		
165495	NZ	present	introduced		
165496	NZ	present	introduced		
165497	NZ	present	introduced		
165498	NZ	present	introduced		
165499	NZ	present	introduced		
165500	NZ	present	introduced		
165501	NZ	present	introduced		
165502	NZ	present	introduced		
165503	NZ	present	introduced		
165504	NZ	present	introduced		
165505	NZ	present	introduced		
165506	NZ	present	introduced		
165507	NZ	present	introduced		
165508	NZ	present	introduced		
165509	NZ	present	introduced		
165510	NZ	present	introduced		
165511	NZ	present	introduced		
165512	NZ	present	introduced		
165513	NZ	present	introduced		
165514	NZ	present	introduced		
165515	NZ	present	introduced		
165516	NZ	present	introduced		
165517	NZ	present	introduced		
165518	NZ	present	introduced		
165519	NZ	present	introduced		
165520	NZ	present	introduced		
165521	NZ	present	introduced		
165522	NZ	present	introduced		
165523	NZ	present	introduced		
165524	NZ	present	introduced		
165525	NZ	present	introduced		
165526	NZ	present	introduced		
165527	NZ	present	introduced		
165528	NZ	present	introduced		2019
165529	NZ	present	introduced		2019
165530	NZ	present	introduced		2021
165531	NZ	present	introduced		
165532	NZ	present	introduced		2019
165533	NZ	present	introduced		
165534	NZ	present	introduced		
165535	NZ	present	introduced		
165536	NZ	present	introduced		
165537	NZ	present	introduced		
165538	NZ	present	introduced		
165539	NZ	present	introduced		
165540	NZ	present	introduced		
165541	NZ	present	introduced		
165542	NZ	present	introduced		
165543	NZ	present	introduced		
165544	NZ	present	introduced		
165545	NZ	present	introduced		
165546	NZ	present	introduced		
165547	NZ	present	introduced		
165548	NZ	present	introduced		1868
165549	NZ	present	introduced		
165550	NZ	present	introduced		
165551	NZ	present	introduced		
165552	NZ	present	introduced		
165553	NZ	present	introduced		
165554	NZ	present	introduced		
165555	NZ	present	introduced		
165556	NZ	present	introduced		
165557	NZ	present	introduced		
165558	NZ	present	introduced		
165559	NZ	present	introduced		
165560	NZ	present	introduced		
165561	NZ	present	introduced		
165562	NZ	present	introduced		
165563	NZ	present	introduced		
165564	NZ	present	introduced		
165565	NZ	present	introduced		
165566	NZ	present	introduced		
165567	NZ	present	introduced		
165568	NZ	present	introduced		
165569	NZ	present	introduced		
165570	NZ	present	introduced		
165571	NZ	present	introduced		
165572	NZ	present	introduced		
165573	NZ	present	introduced		
165574	NZ	present	introduced		
165575	NZ	present	introduced		
165576	NZ	present	introduced		
165577	NZ	present	introduced		
165578	NZ	present	introduced		
165579	NZ	present	introduced		
165580	NZ	present	introduced		
165581	NZ	present	introduced		
165582	NZ	present	introduced		
165583	NZ	present	introduced		
165584	NZ	present	introduced		
165585	NZ	present	introduced		
165586	NZ	present	introduced		
165587	NZ	present	introduced	aquarium trade	1968
165588	NZ	present	introduced		
165589	NZ	present	introduced		
165590	NZ	present	introduced		
165591	NZ	present	introduced		
165592	NZ	present	introduced		
165593	NZ	present	introduced		
165594	NZ	present	introduced		
165595	NZ	present	introduced		
165596	NZ	present	introduced		
165597	NZ	present	introduced		
165598	NZ	present	introduced		
165599	NZ	present	introduced		
165600	NZ	present	introduced		
165601	NZ	present	introduced		
165602	NZ	present	introduced		
165603	NZ	present	introduced		
165604	NZ	present	introduced		
165605	NZ	present	introduced		
165606	NZ	present	introduced		
165607	NZ	present	introduced		
165608	NZ	present	introduced		
165609	NZ	present	introduced		
165610	NZ	present	introduced		
165611	NZ	present	introduced		
165612	NZ	present	introduced		
165613	NZ	present	introduced		
165614	NZ	present	introduced		
165615	NZ	present	introduced		
165616	NZ	present	introduced		
165617	NZ	present	introduced		
165618	NZ	present	introduced		
165619	NZ	present	introduced		
165620	NZ	present	introduced		
165621	NZ	present	introduced		
165622	NZ	present	introduced		
165623	NZ	present	introduced		
165624	NZ	present	introduced	aquarium trade	1940
165625	NZ	present	introduced		
165626	NZ	present	introduced		
165627	NZ	present	introduced		
165628	NZ	present	introduced		
165629	NZ	present	introduced		
165630	NZ	present	introduced		
165631	NZ	present	introduced		
165632	NZ	present	introduced		
165633	NZ	present	introduced		
165634	NZ	present	introduced		
165635	NZ	present	introduced		
165636	NZ	present	introduced		
165637	NZ	present	introduced		
165638	NZ	present	introduced		
165639	NZ	present	introduced		
165640	NZ	present	introduced		
165641	NZ	present	introduced		
165642	NZ	present	introduced		
165643	NZ	present	introduced		
165644	NZ	present	introduced		
165645	NZ	present	introduced		
165646	NZ	present	introduced		
165647	NZ	present	introduced		
165648	NZ	present	introduced		
165649	NZ	present	introduced		
165650	NZ	present	introduced		
165651	NZ	present	introduced		
165652	NZ	present	introduced		
165653	NZ	present	introduced		
165654	NZ	present	introduced		
165655	NZ	present	introduced		
165656	NZ	present	introduced		
165657	NZ	present	introduced		
165658	NZ	present	introduced		
165659	NZ	present	introduced		
165660	NZ	present	introduced		
165661	NZ	present	introduced		
165662	NZ	present	introduced		
165663	NZ	present	introduced		
165664	NZ	present	introduced		
165665	NZ	present	introduced		
165666	NZ	present	introduced		
165667	NZ	present	introduced		
165668	NZ	present	introduced		
165669	NZ	present	introduced		
165670	NZ	present	introduced		
165671	NZ	present	introduced		
165672	NZ	present	introduced		
165673	NZ	present	introduced		
165674	NZ	present	introduced		
165675	NZ	present	introduced		2008
165676	NZ	present	introduced		
165677	NZ	present	introduced		
165678	NZ	present	introduced		
165679	NZ	present	introduced		
165680	NZ	present	introduced		
165681	NZ	present	introduced		
165682	NZ	present	introduced		
165683	NZ	present	introduced		
165684	NZ	present	introduced		
165685	NZ	present	introduced		
165686	NZ	present	introduced		
165687	NZ	present	introduced		
165688	NZ	present	introduced		
165689	NZ	present	introduced		
165690	NZ	present	introduced		
165691	NZ	present	introduced		
165692	NZ	present	introduced		
165693	NZ	present	introduced		
165694	NZ	present	introduced		
165695	NZ	present	introduced		
165696	NZ	present	introduced		
165697	NZ	present	introduced		
165698	NZ	present	introduced		
165699	NZ	present	introduced		
165700	NZ	present	introduced		
165701	NZ	present	introduced		
165702	NZ	present	introduced		
165703	NZ	present	introduced		
165704	NZ	present	introduced		
165705	NZ	present	introduced		
165706	NZ	present	introduced		
165707	NZ	present	introduced		
165708	NZ	present	introduced		
165709	NZ	present	introduced		
165710	NZ	present	introduced		
165711	NZ	present	introduced		
165712	NZ	present	introduced		
165713	NZ	present	introduced		
165714	NZ	present	introduced		
165715	NZ	present	introduced		
165716	NZ	present	introduced		
165717	NZ	present	introduced		
165718	NZ	present	introduced		
165719	NZ	present	introduced		
165720	NZ	present	introduced		
165721	NZ	present	introduced		
165722	NZ	present	introduced		
165723	NZ	present	introduced		
165724	NZ	present	introduced		
165725	NZ	present	introduced		
165726	NZ	present	introduced		
165727	NZ	present	introduced		
165728	NZ	present	introduced		2004
165729	NZ	present	introduced		
165730	NZ	present	introduced		
165731	NZ	present	introduced		2015
165732	NZ	present	introduced		2022
165733	NZ	present	introduced		
165734	NZ	present	introduced		
165735	NZ	present	introduced		
165736	NZ	present	introduced		
165737	NZ	present	introduced		
165738	NZ	present	introduced		
165739	NZ	present	introduced		
165740	NZ	present	introduced		
165741	NZ	present	introduced		
165742	NZ	present	introduced		
165743	NZ	present	introduced		
165744	NZ	present	introduced		
165745	NZ	present	introduced		
165746	NZ	present	introduced		
165747	NZ	present	introduced		1971
165748	NZ	present	introduced		
165749	NZ	present	introduced		
165750	NZ	present	introduced		
165751	NZ	present	introduced		
165752	NZ	present	introduced		
165753	NZ	present	introduced		
165754	NZ	present	introduced		
165755	NZ	present	introduced		
165756	NZ	present	introduced		
165757	NZ	present	introduced		
165758	NZ	present	introduced		
165759	NZ	present	introduced		
165760	NZ	present	introduced		
165761	NZ	present	introduced		
165762	NZ	present	introduced		
165763	NZ	present	introduced		
165764	NZ	present	introduced		
165765	NZ	present	introduced		
165766	NZ	present	introduced		
165767	NZ	present	introduced		
165768	NZ	present	introduced		
165769	NZ	present	introduced		
165770	NZ	present	introduced		
165771	NZ	present	introduced		
165772	NZ	present	introduced		
165773	NZ	present	introduced		2019
165774	NZ	present	introduced		
165775	NZ	present	introduced		1987
165776	NZ	present	introduced		
165777	NZ	present	introduced		
165778	NZ	present	introduced		
165779	NZ	present	introduced		
165780	NZ	present	introduced		2000
165781	NZ	present	introduced		
165782	NZ	present	introduced		
165783	NZ	present	introduced		
165784	NZ	present	introduced		
165785	NZ	present	introduced		
165786	NZ	present	introduced		
165787	NZ	present	introduced		
165788	NZ	present	introduced		
165789	NZ	present	introduced		
165790	NZ	present	introduced		
165791	NZ	present	introduced		
165792	NZ	present	introduced		
165793	NZ	present	introduced		
165794	NZ	present	introduced		
165795	NZ	present	introduced		
165796	NZ	present	introduced		
165797	NZ	present	introduced		
165798	NZ	present	introduced		
165799	NZ	present	introduced		
