id	countryCode	occurrenceStatus	establishmentMeans	eventDate
125500	ES	Present	Alien	2019
125501	ES	Present	Alien	2019
125502	ES	Present	Alien	2019
125503	ES	Present	Alien	2019
125504	ES	Present	Alien	2019
125505	ES	Present	Alien	2019
125506	ES	Present	Alien	2019
125507	ES	Present	Alien	2019
125508	ES	Present	Alien	2019
125509	ES	Present	Alien	2019
125510	ES	Present	Alien	2019
125511	ES	Present	Alien	2019
125512	ES	Present	Alien	2019
125513	ES	Present	Alien	2019
125514	ES	Present	Alien	2019
125515	ES	Present	Alien	2019
125516	ES	Present	Alien	2019
125517	ES	Present	Alien	2019
125518	ES	Present	Alien	2019
125519	ES	Present	Alien	2019
125520	ES	Present	Alien	2019
125521	ES	Present	Alien	2019
125522	ES	Present	Alien	2019
125523	ES	Present	Alien	2019
125524	ES	Present	Alien	2019
125525	ES	Present	Alien	2019
125526	ES	Present	Alien	2019
125527	ES	Present	Alien	2019
125528	ES	Present	Alien	2019
125529	ES	Present	Alien	2019
125530	ES	Present	Alien	2019
125531	ES	Present	Alien	2019
125532	ES	Present	Alien	2019
125533	ES	Present	Alien	2019
125534	ES	Present	Alien	2019
125535	ES	Present	Alien	2019
125536	ES	Present	Alien	2019
125537	ES	Present	Alien	2019
125538	ES	Present	Alien	2019
125539	ES	Present	Alien	2019
125540	ES	Present	Alien	2019
125541	ES	Present	Alien	2019
125542	ES	Present	Alien	2019
125543	ES	Present	Alien	2019
125544	ES	Present	Alien	2019
125545	ES	Present	Alien	2019
125546	ES	Present	Alien	2019
125547	ES	Present	Alien	2019
125548	ES	Present	Alien	2019
125549	ES	Present	Alien	2019
125550	ES	Present	Alien	2019
125551	ES	Present	Alien	2019
125552	ES	Present	Alien	2019
125553	ES	Present	Alien	2019
125554	ES	Present	Alien	2019
125555	ES	Present	Alien	2019
125556	ES	Present	Alien	2019
125557	ES	Present	Alien	2019
125558	ES	Present	Alien	2019
125559	ES	Present	Alien	2019
125560	ES	Present	Alien	2019
125561	ES	Present	Alien	2019
125562	ES	Present	Alien	2019
125563	ES	Present	Alien	2019
125564	ES	Present	Alien	2019
125565	ES	Present	Alien	2019
125566	ES	Present	Alien	2019
125567	ES	Present	Alien	2019
125568	ES	Present	Alien	2019
125569	ES	Present	Alien	2019
125570	ES	Present	Alien	2019
125571	ES	Present	Alien	2019
125572	ES	Present	Alien	2019
125573	ES	Present	Alien	2019
125574	ES	Present	Alien	2019
125575	ES	Present	Alien	2019
125576	ES	Present	Alien	2019
125577	ES	Present	Alien	2019
125578	ES	Present	Alien	2019
125579	ES	Present	Alien	2019
125580	ES	Present	Alien	2019
125581	ES	Present	Alien	2019
125582	ES	Present	Alien	2019
125583	ES	Present	Alien	2019
125584	ES	Present	Alien	2019
125585	ES	Present	Alien	2019
125586	ES	Present	Alien	2019
125587	ES	Present	Alien	2019
125588	ES	Present	Alien	2019
125589	ES	Present	Alien	2019
125590	ES	Present	Alien	2019
125591	ES	Present	Alien	2019
125592	ES	Present	Alien	2019
125593	ES	Present	Alien	2019
125594	ES	Present	Alien	2019
125595	ES	Present	Alien	2019
125596	ES	Present	Alien	2019
125597	ES	Present	Alien	2019
125598	ES	Present	Alien	2019
125599	ES	Present	Alien	2019
125600	ES	Present	Alien	2019
125601	ES	Present	Alien	2019
125602	ES	Present	Alien	2019
125603	ES	Present	Alien	2019
125604	ES	Present	Alien	2019
125605	ES	Present	Alien	2019
125606	ES	Present	Alien	2019
125607	ES	Present	Alien	2019
125608	ES	Present	Alien	2019
125609	ES	Present	Alien	2019
125610	ES	Present	Alien	2019
125611	ES	Present	Alien	2019
125612	ES	Present	Alien	2019
125613	ES	Present	Alien	2019
125614	ES	Present	Alien	2019
125615	ES	Present	Alien	2019
125616	ES	Present	Alien	2019
125617	ES	Present	Alien	2019
125618	ES	Present	Alien	2019
125619	ES	Present	Alien	2019
125620	ES	Present	Alien	2019
125621	ES	Present	Alien	2019
125622	ES	Present	Alien	2019
125623	ES	Present	Alien	2019
125624	ES	Present	Alien	2019
125625	ES	Present	Alien	2019
125626	ES	Present	Alien	2019
125627	ES	Present	Alien	2019
125628	ES	Present	Alien	2019
