id	locationID	locality	occurrenceStatus	establishmentMeans	occurrenceRemarks
13073	Kenya|Tanzania	East Africa	Present	Alien	Established
13074	Kenya|Tanzania	East Africa	Present	Alien	Reported
13075	Kenya|Tanzania	East Africa	Present	Alien	Reported
13076	Kenya|Tanzania	East Africa	Present	Alien	Established
13077	Kenya|Tanzania	East Africa	Present	Alien	Reported
13078	Kenya|Tanzania	East Africa	Present	Alien	Reported
13079	Kenya|Tanzania	East Africa	Present	Alien	Reported
13080	Kenya|Tanzania	East Africa	Present	Alien	Established
13081	Kenya|Tanzania	East Africa	Present	Alien	Established
13082	Kenya|Tanzania	East Africa	Present	Alien	Reported
13083	Kenya|Tanzania	East Africa	Present	Alien	Reported
13084	Kenya|Tanzania	East Africa	Present	Alien	Reported
13085	Kenya|Tanzania	East Africa	Present	Alien	Reported
13086	Kenya|Tanzania	East Africa	Present	Alien	Reported
13087	Kenya|Tanzania	East Africa	Present	Alien	Reported
13088	Kenya|Tanzania	East Africa	Present	Alien	Reported
13089	Kenya|Tanzania	East Africa	Present	Alien	Reported
13090	Kenya|Tanzania	East Africa	Present	Alien	Reported
13091	Kenya|Tanzania	East Africa	Present	Alien	Reported
13092	Kenya|Tanzania	East Africa	Present	Alien	Reported
13093	Kenya|Tanzania	East Africa	Present	Alien	Reported
13094	Kenya|Tanzania	East Africa	Present	Alien	Established
13095	Kenya|Tanzania	East Africa	Present	Alien	Reported
13096	Kenya|Tanzania	East Africa	Present	Alien	Reported
13097	Kenya|Tanzania	East Africa	Present	Alien	Reported
13098	Kenya|Tanzania	East Africa	Present	Alien	Reported
13099	Kenya|Tanzania	East Africa	Present	Alien	Reported
13100	Kenya|Tanzania	East Africa	Present	Alien	Reported
13101	Kenya|Tanzania	East Africa	Present	Alien	Reported
13102	Kenya|Tanzania	East Africa	Present	Alien	Reported
13103	Kenya|Tanzania	East Africa	Present	Alien	Reported
13104	Kenya|Tanzania	East Africa	Present	Alien	Reported
13105	Kenya|Tanzania	East Africa	Present	Alien	Reported
13106	Kenya|Tanzania	East Africa	Present	Alien	Reported
13107	Kenya|Tanzania	East Africa	Present	Alien	Reported
13108	Kenya|Tanzania	East Africa	Present	Alien	Reported
13109	Kenya|Tanzania	East Africa	Present	Alien	Reported
13110	Kenya|Tanzania	East Africa	Present	Alien	Reported
13111	Kenya|Tanzania	East Africa	Present	Alien	Reported
13112	Kenya|Tanzania	East Africa	Present	Alien	Reported
13113	Kenya|Tanzania	East Africa	Present	Alien	Reported
13114	Kenya|Tanzania	East Africa	Present	Alien	Reported
13115	Kenya|Tanzania	East Africa	Present	Alien	Reported
13116	Kenya|Tanzania	East Africa	Present	Alien	Established
13117	Kenya|Tanzania	East Africa	Present	Alien	Reported
13118	Kenya|Tanzania	East Africa	Present	Alien	Reported
13119	Kenya|Tanzania	East Africa	Present	Alien	Reported
13120	Kenya|Tanzania	East Africa	Present	Alien	Established
13121	Kenya|Tanzania	East Africa	Present	Alien	Reported
13122	Kenya|Tanzania	East Africa	Present	Alien	Reported
13123	Kenya|Tanzania	East Africa	Present	Alien	Reported
13124	Kenya|Tanzania	East Africa	Present	Alien	Reported
13125	Kenya|Tanzania	East Africa	Present	Alien	Reported
13126	Kenya|Tanzania	East Africa	Present	Alien	Reported
13127	Kenya|Tanzania	East Africa	Present	Alien	Reported
13128	Kenya|Tanzania	East Africa	Present	Alien	Reported
13129	Kenya|Tanzania	East Africa	Present	Alien	Reported
13130	Kenya|Tanzania	East Africa	Present	Alien	Reported
13131	Kenya|Tanzania	East Africa	Present	Alien	Reported
13132	Kenya|Tanzania	East Africa	Present	Alien	Reported
13133	Kenya|Tanzania	East Africa	Present	Alien	Reported
13134	Kenya|Tanzania	East Africa	Present	Alien	Reported
13135	Kenya|Tanzania	East Africa	Present	Alien	Reported
13136	Kenya|Tanzania	East Africa	Present	Alien	Reported
13137	Kenya|Tanzania	East Africa	Present	Alien	Reported
13138	Kenya|Tanzania	East Africa	Present	Alien	Reported
13139	Kenya|Tanzania	East Africa	Present	Alien	Reported
13140	Kenya|Tanzania	East Africa	Present	Alien	Reported
13141	Kenya|Tanzania	East Africa	Present	Alien	Reported
13142	Kenya|Tanzania	East Africa	Present	Alien	Reported
13143	Kenya|Tanzania	East Africa	Present	Alien	Reported
13144	Kenya|Tanzania	East Africa	Present	Alien	Reported
13145	Kenya|Tanzania	East Africa	Present	Alien	Reported
13146	Kenya|Tanzania	East Africa	Present	Alien	Established
13147	Kenya|Tanzania	East Africa	Present	Alien	Reported
13148	Kenya|Tanzania	East Africa	Present	Alien	Established
13149	Kenya|Tanzania	East Africa	Present	Alien	Reported
13150	Kenya|Tanzania	East Africa	Present	Alien	Reported
13151	Kenya|Tanzania	East Africa	Present	Alien	Reported
13152	Kenya|Tanzania	East Africa	Present	Alien	Reported
13153	Kenya|Tanzania	East Africa	Present	Alien	Reported
13154	Kenya|Tanzania	East Africa	Present	Alien	Reported
13155	Kenya|Tanzania	East Africa	Present	Alien	Reported
13156	Kenya|Tanzania	East Africa	Present	Alien	Reported
13157	Kenya|Tanzania	East Africa	Present	Alien	Reported
13158	Kenya|Tanzania	East Africa	Present	Alien	Reported
13159	Kenya|Tanzania	East Africa	Present	Alien	Reported
13160	Kenya|Tanzania	East Africa	Present	Alien	Reported
13161	Kenya|Tanzania	East Africa	Present	Alien	Established
13162	Kenya|Tanzania	East Africa	Present	Alien	Reported
13163	Kenya|Tanzania	East Africa	Present	Alien	Reported
13164	Kenya|Tanzania	East Africa	Present	Alien	Reported
13165	Kenya|Tanzania	East Africa	Present	Alien	Reported
13166	Kenya|Tanzania	East Africa	Present	Alien	Reported
13167	Kenya|Tanzania	East Africa	Present	Alien	Reported
13168	Kenya|Tanzania	East Africa	Present	Alien	Established
13169	Kenya|Tanzania	East Africa	Present	Alien	Reported
