id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans
180887	France	Reunion	FR-RE	Present	Alien
180888	France	Reunion	FR-RE	Present	Alien
180889	France	Reunion	FR-RE	Present	Alien
180890	France	Reunion	FR-RE	Present	Alien
180891	France	Reunion	FR-RE	Present	Alien
180892	France	Reunion	FR-RE	Present	Alien
180893	France	Reunion	FR-RE	Present	Alien
180894	France	Reunion	FR-RE	Present	Alien
180895	France	Reunion	FR-RE	Present	Alien
180896	France	Reunion	FR-RE	Present	Alien
180897	France	Reunion	FR-RE	Present	Alien
180898	France	Reunion	FR-RE	Present	Alien
180899	France	Reunion	FR-RE	Present	Alien
180900	France	Reunion	FR-RE	Present	Alien
180901	France	Reunion	FR-RE	Present	Alien
180902	France	Reunion	FR-RE	Present	Alien
180903	France	Reunion	FR-RE	Present	Alien
180904	France	Reunion	FR-RE	Present	Alien
180905	France	Reunion	FR-RE	Present	Alien
180906	France	Reunion	FR-RE	Present	Alien
180907	France	Reunion	FR-RE	Present	Alien
180908	France	Reunion	FR-RE	Present	Alien
180909	France	Reunion	FR-RE	Present	Alien
180910	France	Reunion	FR-RE	Present	Alien
180911	France	Reunion	FR-RE	Present	Alien
180912	France	Reunion	FR-RE	Present	Alien
180913	France	Reunion	FR-RE	Present	Alien
180914	France	Reunion	FR-RE	Present	Alien
180915	France	Reunion	FR-RE	Present	Alien
180916	France	Reunion	FR-RE	Present	Alien
180917	France	Reunion	FR-RE	Present	Alien
180918	France	Reunion	FR-RE	Present	Alien
180919	France	Reunion	FR-RE	Present	Alien
180920	France	Reunion	FR-RE	Present	Alien
180921	France	Reunion	FR-RE	Present	Alien
180922	France	Reunion	FR-RE	Present	Alien
180923	France	Reunion	FR-RE	Present	Alien
180924	France	Reunion	FR-RE	Present	Alien
180925	France	Reunion	FR-RE	Present	Alien
180926	France	Reunion	FR-RE	Present	Alien
180927	France	Reunion	FR-RE	Present	Alien
180928	France	Reunion	FR-RE	Present	Alien
180929	France	Reunion	FR-RE	Present	Alien
180930	France	Reunion	FR-RE	Present	Alien
180931	France	Reunion	FR-RE	Present	Alien
180932	France	Reunion	FR-RE	Present	Alien
180933	France	Reunion	FR-RE	Present	Alien
180934	France	Reunion	FR-RE	Present	Alien
180935	France	Reunion	FR-RE	Present	Alien
180936	France	Reunion	FR-RE	Present	Alien
180937	France	Reunion	FR-RE	Present	Alien
180938	France	Reunion	FR-RE	Present	Alien
180939	France	Reunion	FR-RE	Present	Alien
180940	France	Reunion	FR-RE	Present	Alien
180941	France	Reunion	FR-RE	Present	Alien
180942	France	Reunion	FR-RE	Present	Alien
180943	France	Reunion	FR-RE	Present	Alien
180944	France	Reunion	FR-RE	Present	Alien
180945	France	Reunion	FR-RE	Present	Alien
180946	France	Reunion	FR-RE	Present	Alien
180947	France	Reunion	FR-RE	Present	Alien
180948	France	Reunion	FR-RE	Present	Alien
180949	France	Reunion	FR-RE	Present	Alien
180950	France	Reunion	FR-RE	Present	Alien
180951	France	Reunion	FR-RE	Present	Alien
180952	France	Reunion	FR-RE	Present	Alien
180953	France	Reunion	FR-RE	Present	Alien
180954	France	Reunion	FR-RE	Present	Alien
180955	France	Reunion	FR-RE	Present	Alien
180956	France	Reunion	FR-RE	Present	Alien
180957	France	Reunion	FR-RE	Present	Alien
180958	France	Reunion	FR-RE	Present	Alien
180959	France	Reunion	FR-RE	Present	Alien
180960	France	Reunion	FR-RE	Present	Alien
180961	France	Reunion	FR-RE	Present	Alien
180962	France	Reunion	FR-RE	Present	Alien
180963	France	Reunion	FR-RE	Present	Alien
180964	France	Reunion	FR-RE	Present	Alien
180965	France	Reunion	FR-RE	Present	Alien
180966	France	Reunion	FR-RE	Present	Alien
180967	France	Reunion	FR-RE	Present	Alien
180968	France	Reunion	FR-RE	Present	Alien
180969	France	Reunion	FR-RE	Present	Alien
180970	France	Reunion	FR-RE	Present	Alien
180971	France	Reunion	FR-RE	Present	Alien
180972	France	Reunion	FR-RE	Present	Alien
180973	France	Reunion	FR-RE	Present	Alien
180974	France	Reunion	FR-RE	Present	Alien
180975	France	Reunion	FR-RE	Present	Alien
180976	France	Reunion	FR-RE	Present	Alien
180977	France	Reunion	FR-RE	Present	Alien
180978	France	Reunion	FR-RE	Present	Alien
180979	France	Reunion	FR-RE	Present	Alien
180980	France	Reunion	FR-RE	Present	Alien
180981	France	Reunion	FR-RE	Present	Alien
180982	France	Reunion	FR-RE	Present	Alien
180983	France	Reunion	FR-RE	Present	Alien
180984	France	Reunion	FR-RE	Present	Alien
180985	France	Reunion	FR-RE	Present	Alien
180986	France	Reunion	FR-RE	Present	Alien
180987	France	Reunion	FR-RE	Present	Alien
180988	France	Reunion	FR-RE	Present	Alien
180989	France	Reunion	FR-RE	Present	Alien
180990	France	Reunion	FR-RE	Present	Alien
180991	France	Reunion	FR-RE	Present	Alien
180992	France	Reunion	FR-RE	Present	Alien
180993	France	Reunion	FR-RE	Present	Alien
180994	France	Reunion	FR-RE	Present	Alien
180995	France	Reunion	FR-RE	Present	Alien
180996	France	Reunion	FR-RE	Present	Alien
180997	France	Reunion	FR-RE	Present	Alien
180998	France	Reunion	FR-RE	Present	Alien
180999	France	Reunion	FR-RE	Present	Alien
181000	France	Reunion	FR-RE	Present	Alien
181001	France	Reunion	FR-RE	Present	Alien
181002	France	Reunion	FR-RE	Present	Alien
181003	France	Reunion	FR-RE	Present	Alien
181004	France	Reunion	FR-RE	Present	Alien
181005	France	Reunion	FR-RE	Present	Alien
181006	France	Reunion	FR-RE	Present	Alien
181007	France	Reunion	FR-RE	Present	Alien
181008	France	Reunion	FR-RE	Present	Alien
181009	France	Reunion	FR-RE	Present	Alien
