id	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
10049	MARION ISLAND	ZA	present	introduced	unknown	1986|2023
10050	MARION ISLAND	ZA	absent	introduced	unknown	1965|2023
10051	MARION ISLAND	ZA	absent	introduced	releaseInNature:fisheryInTheWild	1959|2023
10052	MARION ISLAND	ZA	eradicated	introduced	escapeFromConfinement:farmedAnimals	1948|2023
10053	MARION ISLAND	ZA	present	introduced	transportContaminant:foodContaminant	1972|2023
10054	MARION ISLAND	ZA	absent	introduced	transportStowaway:hitchhikersShip	1976|2023
10055	MARION ISLAND	ZA	present	introduced	unknown	NA
10056	MARION ISLAND	ZA	absent	introduced	releaseInNature:landscapeImprovement	1950|2023
10057	MARION ISLAND	ZA	absent	introduced	releaseInNature:landscapeImprovement	1950|2023
10058	MARION ISLAND	ZA	eradicated	introduced	transportStowaway:machineryEquipment	1965|2023
10059	MARION ISLAND	ZA	present	introduced	unaided:naturalDispersal	1986|2023
10060	MARION ISLAND	ZA	present	introduced	unknown	1948|2023
10061	MARION ISLAND	ZA	present	introduced	transportStowaway:machineryEquipment	1965|2023
10062	MARION ISLAND	ZA	present	introduced	unknown	1981|2023
10063	MARION ISLAND	ZA	present	introduced	transportStowaway:machineryEquipment	2001|2023
10064	MARION ISLAND	ZA	present	introduced	unknown	1965|2023
10065	MARION ISLAND	ZA	present	introduced	unknown	1965|2023
10066	MARION ISLAND	ZA	absent	introduced	escapeFromConfinement:pet	1962|2023
10067	MARION ISLAND	ZA	present	introduced	unknown	1986|2023
10068	MARION ISLAND	ZA	present	introduced	unknown	1940|2023
10069	MARION ISLAND	ZA	present	introduced	transportStowaway:people	1953|2023
10070	MARION ISLAND	ZA	present	introduced	unknown	1965|2023
10071	MARION ISLAND	ZA	eradicated	introduced	releaseInNature:fisheryInTheWild	1964|2023
10072	MARION ISLAND	ZA	present	introduced	unknown	1984|2023
10073	MARION ISLAND	ZA	absent	introduced	unknown	1993|2023
10074	MARION ISLAND	ZA	uncertain	introduced	unknown	1873|2023
10075	MARION ISLAND	ZA	eradicated	introduced	releaseInNature:hunting	1804|2023
10076	MARION ISLAND	ZA	absent	introduced	unknown	1965|2023
10077	MARION ISLAND	ZA	present	introduced	unknown	1996|2023
10078	MARION ISLAND	ZA	absent	introduced	unknown	1987|2023
10079	MARION ISLAND	ZA	present	introduced	unknown	1970s|2023
10080	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1987|2023
10081	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	2000|2023
10082	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1986|2023
10083	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	2023|2023
10084	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1986|2023
10085	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1966|2023
10086	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1986|2023
10087	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1984|2023
10088	PRINCE EDWARD ISLAND	ZA	present	introduced	unknown	1997|2023
