id	locality	countryCode	occurrenceStatus	establishmentMeans
2874	Rapa Nui - Easter Islands	CL	present	alien
2875	Rapa Nui - Easter Islands	CL	present	alien
2876	Rapa Nui - Easter Islands	CL	present	alien
2877	Rapa Nui - Easter Islands	CL	present	alien
2878	Rapa Nui - Easter Islands	CL	present	alien
2879	Rapa Nui - Easter Islands	CL	present	alien
2880	Rapa Nui - Easter Islands	CL	present	alien
2881	Rapa Nui - Easter Islands	CL	present	alien
2882	Rapa Nui - Easter Islands	CL	present	alien
2883	Rapa Nui - Easter Islands	CL	present	alien
2884	Rapa Nui - Easter Islands	CL	present	alien
2885	Rapa Nui - Easter Islands	CL	present	alien
2886	Rapa Nui - Easter Islands	CL	present	alien
2887	Rapa Nui - Easter Islands	CL	present	alien
2888	Rapa Nui - Easter Islands	CL	present	alien
2889	Rapa Nui - Easter Islands	CL	present	alien
2890	Rapa Nui - Easter Islands	CL	present	alien
2891	Rapa Nui - Easter Islands	CL	present	alien
2892	Rapa Nui - Easter Islands	CL	present	alien
2893	Rapa Nui - Easter Islands	CL	present	alien
2894	Rapa Nui - Easter Islands	CL	present	alien
2895	Rapa Nui - Easter Islands	CL	present	alien
2896	Rapa Nui - Easter Islands	CL	present	alien
2897	Rapa Nui - Easter Islands	CL	present	alien
2898	Rapa Nui - Easter Islands	CL	present	alien
2899	Rapa Nui - Easter Islands	CL	present	alien
2900	Rapa Nui - Easter Islands	CL	present	alien
2901	Rapa Nui - Easter Islands	CL	present	alien
2902	Rapa Nui - Easter Islands	CL	present	alien
2903	Rapa Nui - Easter Islands	CL	present	alien
2904	Rapa Nui - Easter Islands	CL	present	alien
2905	Rapa Nui - Easter Islands	CL	present	alien
2906	Rapa Nui - Easter Islands	CL	present	alien
2907	Rapa Nui - Easter Islands	CL	present	alien
2908	Rapa Nui - Easter Islands	CL	present	alien
2909	Rapa Nui - Easter Islands	CL	present	alien
2910	Rapa Nui - Easter Islands	CL	present	alien
2911	Rapa Nui - Easter Islands	CL	present	alien
2912	Rapa Nui - Easter Islands	CL	present	alien
2913	Rapa Nui - Easter Islands	CL	present	alien
2914	Rapa Nui - Easter Islands	CL	present	alien
2915	Rapa Nui - Easter Islands	CL	present	alien
2916	Rapa Nui - Easter Islands	CL	present	alien
2917	Rapa Nui - Easter Islands	CL	present	alien
2918	Rapa Nui - Easter Islands	CL	present	alien
2919	Rapa Nui - Easter Islands	CL	present	alien
2920	Rapa Nui - Easter Islands	CL	present	alien
2921	Rapa Nui - Easter Islands	CL	present	alien
2922	Rapa Nui - Easter Islands	CL	present	alien
2923	Rapa Nui - Easter Islands	CL	present	alien
2924	Rapa Nui - Easter Islands	CL	present	alien
2925	Rapa Nui - Easter Islands	CL	present	alien
2926	Rapa Nui - Easter Islands	CL	present	alien
2927	Rapa Nui - Easter Islands	CL	present	alien
2928	Rapa Nui - Easter Islands	CL	present	alien
2929	Rapa Nui - Easter Islands	CL	present	alien
2930	Rapa Nui - Easter Islands	CL	present	alien
2931	Rapa Nui - Easter Islands	CL	present	alien
2932	Rapa Nui - Easter Islands	CL	present	alien
2933	Rapa Nui - Easter Islands	CL	present	alien
2934	Rapa Nui - Easter Islands	CL	present	alien
2935	Rapa Nui - Easter Islands	CL	present	alien
2936	Rapa Nui - Easter Islands	CL	present	alien
2937	Rapa Nui - Easter Islands	CL	present	alien
2938	Rapa Nui - Easter Islands	CL	present	alien
2939	Rapa Nui - Easter Islands	CL	present	alien
2940	Rapa Nui - Easter Islands	CL	present	alien
2941	Rapa Nui - Easter Islands	CL	present	alien
2942	Rapa Nui - Easter Islands	CL	present	alien
2943	Rapa Nui - Easter Islands	CL	present	alien
2944	Rapa Nui - Easter Islands	CL	present	alien
2945	Rapa Nui - Easter Islands	CL	present	alien
2946	Rapa Nui - Easter Islands	CL	present	alien
2947	Rapa Nui - Easter Islands	CL	present	alien
2948	Rapa Nui - Easter Islands	CL	present	native|alien
