id	locationID	countryCode	occurrenceStatus	establishmentMeans	eventDate
16074	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16075	Tonga	TO	Present	Alien	2022
16076	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16077	Tonga	TO	Present	Alien	2022
16078	Tonga	TO	Present	Alien	2022
16079	Tonga	TO	Present	Alien	2022
16080	Tonga	TO	Present	Alien	2022
16081	Tonga	TO	Present	Alien	2022
16082	Tonga	TO	Present	Alien	2022
16083	Tonga	TO	Present	Alien	2022
16084	Tonga	TO	Present	Alien	2022
16085	Tonga	TO	Present	Alien	2022
16086	Tonga	TO	Present	Alien	2022
16087	Tonga	TO	Present	Alien	2022
16088	Tonga	TO	Present	Alien	2022
16089	Tonga	TO	Present	Alien	2022
16090	Tonga	TO	Present	Alien	2022
16091	Tonga	TO	Present	Alien	2022
16092	Tonga	TO	Present	Alien	2022
16093	Tonga	TO	Present	Alien	2022
16094	Tonga	TO	Present	Alien	2022
16095	Tonga	TO	Present	Alien	2022
16096	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16097	Tonga	TO	Present	Alien	2022
16098	Tonga	TO	Present	Alien	2022
16099	Tonga	TO	Present	Alien	2022
16100	Tonga	TO	Present	Alien	2022
16101	Tonga	TO	Present	Alien	2022
16102	Tonga	TO	Present	Alien	2022
16103	Tonga	TO	Present	Alien	2022
16104	Tonga	TO	Present	Alien	2022
16105	Tonga	TO	Present	Alien	2022
16106	Tonga	TO	Present	Alien	2022
16107	Tonga	TO	Present	Alien	2022
16108	Tonga	TO	Present	Alien	2022
16109	Tonga	TO	Present	Alien	2022
16110	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16111	Tonga	TO	Present	Alien	2022
16112	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16113	Tonga	TO	Present	Alien	2022
16114	Tonga	TO	Present	Alien	2022
16115	Tonga	TO	Present	Alien	2022
16116	Tonga	TO	Present	Alien	2022
16117	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16118	Tonga	TO	Present	Alien	2022
16119	Tonga	TO	Present	Alien	2022
16121	Tonga	TO	Present	Alien	2022
16122	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16123	Tonga	TO	Present	Alien	2022
16124	Tonga	TO	Present	Alien	2022
16125	Tonga	TO	Present	Alien	2022
16126	Tonga	TO	Present	Alien	2022
16127	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16128	Tonga	TO	Present	Alien	2022
16129	Tonga	TO	Present	Alien	2022
16130	Tonga	TO	Present	Alien	2022
16131	Tonga	TO	Present	Alien	2022
16132	Tonga	TO	Present	Alien	2022
16133	Tonga	TO	Present	Alien	2022
16134	Tonga	TO	Present	Alien	2022
16135	Tonga	TO	Present	Alien	2022
16136	Tonga	TO	Present	Alien	2022
16137	Tonga	TO	Present	Alien	2022
16138	Tonga	TO	Present	Alien	2022
16139	Tonga	TO	Present	Alien	2022
16140	Tonga	TO	Present	Alien	2022
16141	Tonga	TO	Present	Alien	2022
16142	Tonga	TO	Present	Alien	2022
16143	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16144	Tonga	TO	Present	Alien	2022
