id	locality	countryCode	occurrenceStatus	establishmentMeans
28147	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28148	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28149	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28150	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28151	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28152	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28153	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28154	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28155	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28156	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28157	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28158	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28159	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28160	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28161	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28162	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28163	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28164	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28165	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28166	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28167	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28168	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
28169	French Southern and Antarctic Lands Terres australes et antarctiques françaises (TAAF)	TF	Present	Alien
