id	locationID	countryCode	occurrenceStatus	establishmentMeans	eventDate
15100	Niue	NU	Present	Alien	2022
15101	Niue	NU	Present	Alien	2022
15102	Niue	NU	Present	Alien	2022
15103	Niue	NU	Present	Alien	2022
15104	Niue	NU	Present	Alien	2022
15105	Niue	NU	Present	Alien	2022
15106	Niue	NU	Present	Alien	2022
15107	Niue	NU	Present	Alien	2022
15108	Niue	NU	Present	Alien	2022
15109	Niue	NU	Present	Alien	2022
15110	Niue	NU	Present	Alien	2022
15111	Niue	NU	Present	Alien	2022
15112	Niue	NU	Present	Alien	2022
15113	Niue	NU	Present	Alien	2022
15114	Niue	NU	Present	Alien	2022
15115	Niue	NU	Present	Alien	2022
15116	Niue	NU	Present	Alien	2022
15117	Niue	NU	Present	Alien	2022
15118	Niue	NU	Present	Alien	2022
15119	Niue	NU	Present	Alien	2022
15120	Niue	NU	Present	Alien	2022
15121	Niue	NU	Present	Alien	2022
15122	Niue	NU	Present	Alien	2022
15123	Niue	NU	Present	Alien	2022
15124	Niue	NU	Present	Alien	2022
15125	Niue	NU	Present	Alien	2022
15126	Niue	NU	Present	Alien	2022
15127	Niue	NU	Present	Alien	2022
15128	Niue	NU	Present	Alien	2022
15129	Niue	NU	Present	Alien	2022
15130	Niue	NU	Present	Alien	2022
15131	Niue	NU	Present	Alien	2022
15132	Niue	NU	Present	Alien	2022
15133	Niue	NU	Present	Alien	2022
15134	Niue	NU	Present	Alien	2022
15135	Niue	NU	Present	Alien	2022
15136	Niue	NU	Present	Alien	2022
15137	Niue	NU	Present	Alien	2022
15138	Niue	NU	Present	Alien	2022
15139	Niue	NU	Present	Alien	2022
15140	Niue	NU	Present	Alien	2022
15141	Niue	NU	Present	Alien	2022
15142	Niue	NU	Present	Alien	2022
15143	Niue	NU	Present	Alien	2022
15144	Niue	NU	Present	Alien	2022
15145	Niue	NU	Present	Alien	2022
15146	Niue	NU	Present	Alien	2022
15147	Niue	NU	Present	Alien	2022
15148	Niue	NU	Present	Alien	2022
15149	Niue	NU	Present	Alien	2022
15150	Niue	NU	Present	Alien	2022
15151	Niue	NU	Present	Alien	2022
15152	Niue	NU	Present	Alien	2022
