id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonomicStatus
15100	15100	Abelmoschus moschatus Medik.		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	SPECIES	English: fautia, musk mallow, musk okra; French: ambrette, gombo musqué, ketmie musquée, graine de musc; Other:  kamang, ka‘mang (Guam); karereon, karereon nikapwerik nik, kareron, likonokon (Chuuk); gongul (Palau); metei, mety, methey (Pohnpei); hathongethong, kamwayang, nikapwerik, setmwechin, sotumo (Yap);  wakiwaki, wakewake, wakeke, vakeke, aukiki, okeoke, o‘e‘e (Fiji); fou ingo (Niue), fau ingo (Wallis and Futuna); ‘aute toga, fau tagaloa, fua samasama (American Samoa and Samoa); loa, fau‘ingo (Tonga)	ACCEPTED
15101	15101	Abrus precatorius L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	Niuean: mata'ila, pomea mataila; English: bead vine, coral bead plant, jequirity bean, licorice vine, lucky bean, precatory bean, rosary pea, weatherplant; Other: pitipitio (Cook Islands (Rarotonga)), koviriviri mata- tako (Cook Islands (Mangaia), uiui (Cook Islands ('Atiu, Miti'aro, Ma'uke)), Kirikiri Rangi (Cook Islands (Aitutaki)); pukiawe, pukiawe lei, pukiawe lenalena [Ni'ihau], pupukiawe (Hawai'i); matamoso (Samoa)	ACCEPTED
15102	15102	Abutilon grandifolium Sweet		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	SPECIES	English:  hairy abutilon	ACCEPTED
15103	15103	Acalypha indica L.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	SPECIES	Niuean: ongoongo, hongohongo; English: copperleaf, Indian-nettle, ricinela	ACCEPTED
15104	15104	Acalypha lanceolata Willd.		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	SPECIES	Niuean: ongoongo?, mangiho?; Other: puapua (Cook Islands (Miti'aro)); ogo ogo (Samoa); hongohongo (Tonga	ACCEPTED
15105	15105	Acca sellowiana (O.Berg) Burret		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	SPECIES		ACCEPTED
15106	15106	Achyranthes aspera L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	SPECIES	Niuean: lamoa fisi, talamoa fisi; English: chaff-flower, devil's horsewhip; Other: piripiri (Cook Islands); kopu varu (Cook Islands (‘Atiu, Ma‘uke)); tumu ‘enua (Cook Islands (Mangaia)); aerofai (French Polynesia (Tahiti)); lautafifi (Samoa); tamatama (Samoa, Tonga)	ACCEPTED
15107	15107	Adenanthera pavonina L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	English: Coral bean tree, red sandalwood tree, red bead tree, lopa, bead tree, false wiliwili, peacock flower-fence; French: bois de condori; Other:  kaikes (Pohnpei); mwetkwem (Kosrae); colales, culalis, kolales, kulales, kulalis (Guam, CNMI); metekam, metkam, metkem, (Kosrae); telengtúngd, telentundalel (Palau); pomea (Fiji, Niue), lera, lere ndamu, vaivai, vaivai ni vavalangi (Fiji), lopa, la‘au lopa (American Samoa, Samoa and Tonga); paina, pitipitio (French Polynesia)	ACCEPTED
15108	15108	Aedes aegypti (Linnaeus, 1762)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	Yellow-fever mosquito	ACCEPTED
15109	15109	Ageratum conyzoides L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	Niuean: sekose sea; English: billygoat-weed, chick week, goatweed, whiteweed; Other: maire vaihi (French Polynesia); maile hohono, maile honohono, maile kula (Hawai‘i); a‘amia, tae‘oti (Samoa); te‘ehosi (Tonga)	ACCEPTED
